generation_technology	investment_period	g_overnight_cost	g_fixed_o_m
CC_152	2045	1653241.65029	17452.3528084
CentralTrackingPV	2045	2856257.41566	22970.0
DistPV	2045	3650294.69548	0.0
IC_Barge	2045	1323182.7112	34214.2214559
IC_MCBH	2045	3162082.51473	33843.8169068
IC_Schofield	2045	2481335.95285	33843.8169068
OffshoreWind	2045	6205598.49907	96710.0
OnshoreWind	2045	2459329.39425	27400.0
