GENERATION_PROJECT,build_year,gen_overnight_cost,gen_storage_energy_overnight_cost,gen_fixed_om
Oahu_Airport_DSG,2013,585669.040045268,.,0.0
Oahu_Battery_Bulk,2045,408399.274419057,115878.682836152,17725.662952216
Oahu_Battery_Conting,2045,470793.608010858,0.0,17725.662952216
Oahu_Battery_Reg,2045,533187.941602658,0.0,17725.662952216
Oahu_CC_152,2045,1667968.57141722,.,19084.9248789063
Oahu_CIP_CT,2009,585669.040045268,.,0.0
Oahu_CentralTrackingPV_PV_01,2016,3218613.74152861,.,0.0
Oahu_CentralTrackingPV_PV_01,2045,1279933.75976082,.,9238.59059110776
Oahu_CentralTrackingPV_PV_02,2045,1279933.75976082,.,9238.59059110776
Oahu_CentralTrackingPV_PV_03,2045,1279933.75976082,.,9238.59059110776
Oahu_CentralTrackingPV_PV_04,2012,3218613.74152861,.,0.0
Oahu_CentralTrackingPV_PV_04,2045,1279933.75976082,.,9238.59059110776
Oahu_CentralTrackingPV_PV_05,2019,1934120.97702634,.,13960.5286009166
Oahu_CentralTrackingPV_PV_05,2045,1279933.75976082,.,9238.59059110776
Oahu_CentralTrackingPV_PV_06,2045,1279933.75976082,.,9238.59059110776
Oahu_CentralTrackingPV_PV_07,2019,1934120.97702634,.,13960.5286009166
Oahu_CentralTrackingPV_PV_07,2045,1279933.75976082,.,9238.59059110776
Oahu_CentralTrackingPV_PV_08,2045,1279933.75976082,.,9238.59059110776
Oahu_CentralTrackingPV_PV_09,2045,1279933.75976082,.,9238.59059110776
Oahu_CentralTrackingPV_PV_10,2045,1279933.75976082,.,9238.59059110776
Oahu_CentralTrackingPV_PV_11,2019,1934120.97702634,.,13960.5286009166
Oahu_CentralTrackingPV_PV_11,2045,1279933.75976082,.,9238.59059110776
Oahu_CentralTrackingPV_PV_12,2045,1279933.75976082,.,9238.59059110776
Oahu_CentralTrackingPV_PV_13,2045,1279933.75976082,.,9238.59059110776
Oahu_CentralTrackingPV_PV_14,2045,1279933.75976082,.,9238.59059110776
Oahu_CentralTrackingPV_PV_15,2045,1279933.75976082,.,9238.59059110776
Oahu_CentralTrackingPV_PV_16,2045,1279933.75976082,.,9238.59059110776
