GENERATION_PROJECT,build_year,gen_overnight_cost,gen_storage_energy_overnight_cost,gen_fixed_om
Oahu_Airport_DSG,2013,585669.040045268,.,0.0
Oahu_CC_152,2045,1667968.57141722,.,19084.9248789063
Oahu_CIP_CT,2009,585669.040045268,.,0.0
Oahu_H-Power,1989,2042053.84765625,.,0.0
Oahu_IC_Barge,2045,1460706.20455472,.,38037.3922109375
Oahu_IC_MCBH,2045,3152361.90361337,.,38037.3922109375
Oahu_IC_Schofield,2018,2706478.43249614,.,38037.3922109375
Oahu_IC_Schofield,2045,2473988.88699359,.,38037.3922109375
Oahu_Kalaeloa_CC1,1989,2042053.84765625,.,0.0
Oahu_Kalaeloa_CC2,1991,2042053.84765625,.,0.0
Oahu_Kalaeloa_CC3,1991,2042053.84765625,.,0.0
Oahu_Waiau_10,1973,585669.040045268,.,0.0
Oahu_Waiau_9,1973,585669.040045268,.,0.0
