LOAD_ZONE,TIMEPOINT,zone_demand_mw
Oahu,4507082500,735.229950249266
Oahu,4507082501,705.715464171032
Oahu,4507082502,688.555212798645
Oahu,4507082503,684.31016435892
Oahu,4507082504,696.969144462246
Oahu,4507082505,730.922557917547
Oahu,4507082506,779.986440110541
Oahu,4507082507,862.671305446607
Oahu,4507082508,927.898232609391
Oahu,4507082509,961.401544298013
Oahu,4507082510,977.952304875442
Oahu,4507082511,980.029814691932
Oahu,4507082512,969.579963984534
Oahu,4507082513,964.864060658829
Oahu,4507082514,960.715972821299
Oahu,4507082515,969.912352029718
Oahu,4507082516,968.748993871574
Oahu,4507082517,958.292211368727
Oahu,4507082518,965.646592737737
Oahu,4507082519,967.107764497911
Oahu,4507082520,938.479618362137
Oahu,4507082521,896.687062793902
Oahu,4507082522,843.682877558663
Oahu,4507082523,779.273141452031
Oahu,4507050200,676.39485703014
Oahu,4507050201,654.110106803971
Oahu,4507050202,645.613078129074
Oahu,4507050203,653.19599741267
Oahu,4507050204,682.017980218742
Oahu,4507050205,780.505817564664
Oahu,4507050206,856.785027633219
Oahu,4507050207,891.527947229922
Oahu,4507050208,925.169725759341
Oahu,4507050209,950.362998182004
Oahu,4507050210,959.891849969697
Oahu,4507050211,964.642412272646
Oahu,4507050212,973.333362151932
Oahu,4507050213,974.136605083095
Oahu,4507050214,974.600612707718
Oahu,4507050215,971.920628425809
Oahu,4507050216,960.134209208136
Oahu,4507050217,960.058043992289
Oahu,4507050218,970.577212654176
Oahu,4507050219,980.438452487054
Oahu,4507050220,928.646105711055
Oahu,4507050221,869.492488037642
Oahu,4507050222,790.103902772755
Oahu,4507050223,721.968495680522
Oahu,4508120400,692.947476088973
Oahu,4508120401,672.834810478641
Oahu,4508120402,661.374022889101
Oahu,4508120403,668.223761110093
Oahu,4508120404,706.12592951793
Oahu,4508120405,793.778276370234
Oahu,4508120406,863.781881714054
Oahu,4508120407,891.786116734301
Oahu,4508120408,938.114927913525
Oahu,4508120409,961.599634183544
Oahu,4508120410,972.363490116206
Oahu,4508120411,975.932622360979
Oahu,4508120412,980.614095341464
Oahu,4508120413,978.171311213423
Oahu,4508120414,977.002683149073
Oahu,4508120415,974.531712389287
Oahu,4508120416,964.112884890949
Oahu,4508120417,981.789770063751
Oahu,4508120418,995.052697453091
Oahu,4508120419,962.747122274086
Oahu,4508120420,915.62990178709
Oahu,4508120421,858.368286754436
Oahu,4508120422,787.702940075993
Oahu,4508120423,724.119613525884
Oahu,4507090800,743.560742634526
Oahu,4507090801,718.699900524093
Oahu,4507090802,701.027203493032
Oahu,4507090803,697.820909961553
Oahu,4507090804,711.082364530297
Oahu,4507090805,748.726832261001
Oahu,4507090806,797.790672186949
Oahu,4507090807,874.284598846239
Oahu,4507090808,938.237259123698
Oahu,4507090809,973.942768412799
Oahu,4507090810,988.568434139523
Oahu,4507090811,994.579315202809
Oahu,4507090812,995.902020122187
Oahu,4507090813,990.562846944717
Oahu,4507090814,990.105771115544
Oahu,4507090815,993.810646714799
Oahu,4507090816,987.69587325387
Oahu,4507090817,983.360796007401
Oahu,4507090818,1005.82556158001
Oahu,4507090819,993.069705408584
Oahu,4507090820,959.310170890625
Oahu,4507090821,919.913649593167
Oahu,4507090822,857.055114053454
Oahu,4507090823,789.63300561973
Oahu,4507121500,698.146408478333
Oahu,4507121501,670.34238519416
Oahu,4507121502,653.189065617222
Oahu,4507121503,652.489630549609
Oahu,4507121504,670.058477450073
Oahu,4507121505,706.089400721864
Oahu,4507121506,758.103311349955
Oahu,4507121507,820.733308975082
Oahu,4507121508,876.292875242331
Oahu,4507121509,904.872456542917
Oahu,4507121510,911.195057066177
Oahu,4507121511,912.06761795183
Oahu,4507121512,903.058101351213
Oahu,4507121513,887.781480857974
Oahu,4507121514,881.6320484198
Oahu,4507121515,886.147183279759
Oahu,4507121516,891.597180650321
Oahu,4507121517,922.780623284014
Oahu,4507121518,935.868952034717
Oahu,4507121519,904.540068497734
Oahu,4507121520,880.911860232887
Oahu,4507121521,845.434931125418
Oahu,4507121522,790.650965141628
Oahu,4507121523,727.986350806302
Oahu,4508120800,661.58520779006
Oahu,4508120801,642.444035691565
Oahu,4508120802,634.904455439058
Oahu,4508120803,645.527464147845
Oahu,4508120804,686.801716182796
Oahu,4508120805,770.209096139831
Oahu,4508120806,852.60270263741
Oahu,4508120807,877.094092741523
Oahu,4508120808,918.114922895322
Oahu,4508120809,937.720744743353
Oahu,4508120810,950.483875028328
Oahu,4508120811,953.532070194927
Oahu,4508120812,955.812953060137
Oahu,4508120813,954.024820641356
Oahu,4508120814,953.158941063711
Oahu,4508120815,941.705200132107
Oahu,4508120816,936.495829350364
Oahu,4508120817,981.121025038618
Oahu,4508120818,989.653238776772
Oahu,4508120819,955.235728653324
Oahu,4508120820,910.476775366559
Oahu,4508120821,850.314773114264
Oahu,4508120822,770.011961587318
Oahu,4508120823,703.605675120016
Oahu,4508010500,691.462049189471
Oahu,4508010501,666.590526263633
Oahu,4508010502,647.949151269503
Oahu,4508010503,646.787612830516
Oahu,4508010504,664.091368872101
Oahu,4508010505,696.284326426405
Oahu,4508010506,742.577947283374
Oahu,4508010507,794.306260106344
Oahu,4508010508,856.101454237672
Oahu,4508010509,897.741788745902
Oahu,4508010510,915.960750970688
Oahu,4508010511,918.445815046346
Oahu,4508010512,912.074776923337
Oahu,4508010513,905.689688451881
Oahu,4508010514,901.14906269527
Oahu,4508010515,900.015624953175
Oahu,4508010516,905.25322533409
Oahu,4508010517,931.349706620343
Oahu,4508010518,961.458872894523
Oahu,4508010519,924.049454933114
Oahu,4508010520,894.559793013365
Oahu,4508010521,856.854716190614
Oahu,4508010522,799.945133282794
Oahu,4508010523,740.564536647761
Oahu,4508031300,682.922788793381
Oahu,4508031301,661.690821724253
Oahu,4508031302,654.03153422168
Oahu,4508031303,658.508825991716
Oahu,4508031304,701.951343267173
Oahu,4508031305,790.314715092227
Oahu,4508031306,871.772018400224
Oahu,4508031307,899.51582784881
Oahu,4508031308,939.283555977876
Oahu,4508031309,964.690109297761
Oahu,4508031310,978.340259134191
Oahu,4508031311,979.206138711836
Oahu,4508031312,983.345534640337
Oahu,4508031313,986.858379556472
Oahu,4508031314,987.231508687688
Oahu,4508031315,981.649008774729
Oahu,4508031316,970.709158263364
Oahu,4508031317,967.470875202189
Oahu,4508031318,999.846831025705
Oahu,4508031319,987.132941411432
Oahu,4508031320,939.966394318881
Oahu,4508031321,877.579839497441
Oahu,4508031322,798.727221580316
Oahu,4508031323,728.582854947474
Oahu,4508091000,710.877783142926
Oahu,4508091001,691.201580650384
Oahu,4508091002,679.156521996096
Oahu,4508091003,684.035086561667
Oahu,4508091004,721.374123878565
Oahu,4508091005,805.914855642842
Oahu,4508091006,879.206027685965
Oahu,4508091007,918.396531408218
Oahu,4508091008,961.008316460859
Oahu,4508091009,991.089296103293
Oahu,4508091010,1009.54758689336
Oahu,4508091011,1007.59059248866
Oahu,4508091012,1017.48848290883
Oahu,4508091013,1024.44379209658
Oahu,4508091014,1017.51666954057
Oahu,4508091015,1016.91125850201
Oahu,4508091016,1007.78068038324
Oahu,4508091017,989.934761354816
Oahu,4508091018,1017.06611310691
Oahu,4508091019,999.473701894489
Oahu,4508091020,955.4258165479
Oahu,4508091021,886.731557590026
Oahu,4508091022,806.224607820057
Oahu,4508091023,743.23264196006
Oahu,4507121700,663.618163205318
Oahu,4507121701,640.758665695527
Oahu,4507121702,629.962521085002
Oahu,4507121703,635.69642619965
Oahu,4507121704,681.339340537476
Oahu,4507121705,763.767983044205
Oahu,4507121706,848.544264054703
Oahu,4507121707,870.939796206918
Oahu,4507121708,910.904175259596
Oahu,4507121709,933.500560411646
Oahu,4507121710,941.9629301093
Oahu,4507121711,947.039033196074
Oahu,4507121712,947.177500036871
Oahu,4507121713,946.540366594208
Oahu,4507121714,941.256563246239
