LOAD_ZONE	TIMEPOINT	ev_bau_mw
Oahu	2007011500	60.3533307705
Oahu	2007011501	39.1275006545
Oahu	2007011502	24.8635862364
Oahu	2007011503	15.7035248342
Oahu	2007011504	11.4005031818
Oahu	2007011505	16.8148175489
Oahu	2007011506	41.753152524
Oahu	2007011507	99.2743729824
Oahu	2007011508	156.080402223
Oahu	2007011509	145.455828225
Oahu	2007011510	109.533773631
Oahu	2007011511	85.4229762972
Oahu	2007011512	86.7662081408
Oahu	2007011513	101.343831638
Oahu	2007011514	107.583571832
Oahu	2007011515	116.536343077
Oahu	2007011516	136.984965667
Oahu	2007011517	169.337501597
Oahu	2007011518	191.516941691
Oahu	2007011519	184.882401203
Oahu	2007011520	171.297297118
Oahu	2007011521	152.320007881
Oahu	2007011522	122.709941802
Oahu	2007011523	88.5540165036
Oahu	2007021500	60.3533307705
Oahu	2007021501	39.1275006545
Oahu	2007021502	24.8635862364
Oahu	2007021503	15.7035248342
Oahu	2007021504	11.4005031818
Oahu	2007021505	16.8148175489
Oahu	2007021506	41.753152524
Oahu	2007021507	99.2743729824
Oahu	2007021508	156.080402223
Oahu	2007021509	145.455828225
Oahu	2007021510	109.533773631
Oahu	2007021511	85.4229762972
Oahu	2007021512	86.7662081408
Oahu	2007021513	101.343831638
Oahu	2007021514	107.583571832
Oahu	2007021515	116.536343077
Oahu	2007021516	136.984965667
Oahu	2007021517	169.337501597
Oahu	2007021518	191.516941691
Oahu	2007021519	184.882401203
Oahu	2007021520	171.297297118
Oahu	2007021521	152.320007881
Oahu	2007021522	122.709941802
Oahu	2007021523	88.5540165036
Oahu	2007031500	60.3533307705
Oahu	2007031501	39.1275006545
Oahu	2007031502	24.8635862364
Oahu	2007031503	15.7035248342
Oahu	2007031504	11.4005031818
Oahu	2007031505	16.8148175489
Oahu	2007031506	41.753152524
Oahu	2007031507	99.2743729824
Oahu	2007031508	156.080402223
Oahu	2007031509	145.455828225
Oahu	2007031510	109.533773631
Oahu	2007031511	85.4229762972
Oahu	2007031512	86.7662081408
Oahu	2007031513	101.343831638
Oahu	2007031514	107.583571832
Oahu	2007031515	116.536343077
Oahu	2007031516	136.984965667
Oahu	2007031517	169.337501597
Oahu	2007031518	191.516941691
Oahu	2007031519	184.882401203
Oahu	2007031520	171.297297118
Oahu	2007031521	152.320007881
Oahu	2007031522	122.709941802
Oahu	2007031523	88.5540165036
Oahu	2007041500	60.3533307705
Oahu	2007041501	39.1275006545
Oahu	2007041502	24.8635862364
Oahu	2007041503	15.7035248342
Oahu	2007041504	11.4005031818
Oahu	2007041505	16.8148175489
Oahu	2007041506	41.753152524
Oahu	2007041507	99.2743729824
Oahu	2007041508	156.080402223
Oahu	2007041509	145.455828225
Oahu	2007041510	109.533773631
Oahu	2007041511	85.4229762972
Oahu	2007041512	86.7662081408
Oahu	2007041513	101.343831638
Oahu	2007041514	107.583571832
Oahu	2007041515	116.536343077
Oahu	2007041516	136.984965667
Oahu	2007041517	169.337501597
Oahu	2007041518	191.516941691
Oahu	2007041519	184.882401203
Oahu	2007041520	171.297297118
Oahu	2007041521	152.320007881
Oahu	2007041522	122.709941802
Oahu	2007041523	88.5540165036
Oahu	2007051500	60.3533307705
Oahu	2007051501	39.1275006545
Oahu	2007051502	24.8635862364
Oahu	2007051503	15.7035248342
Oahu	2007051504	11.4005031818
Oahu	2007051505	16.8148175489
Oahu	2007051506	41.753152524
Oahu	2007051507	99.2743729824
Oahu	2007051508	156.080402223
Oahu	2007051509	145.455828225
Oahu	2007051510	109.533773631
Oahu	2007051511	85.4229762972
Oahu	2007051512	86.7662081408
Oahu	2007051513	101.343831638
Oahu	2007051514	107.583571832
Oahu	2007051515	116.536343077
Oahu	2007051516	136.984965667
Oahu	2007051517	169.337501597
Oahu	2007051518	191.516941691
Oahu	2007051519	184.882401203
Oahu	2007051520	171.297297118
Oahu	2007051521	152.320007881
Oahu	2007051522	122.709941802
Oahu	2007051523	88.5540165036
Oahu	2007061500	60.3533307705
Oahu	2007061501	39.1275006545
Oahu	2007061502	24.8635862364
Oahu	2007061503	15.7035248342
Oahu	2007061504	11.4005031818
Oahu	2007061505	16.8148175489
Oahu	2007061506	41.753152524
Oahu	2007061507	99.2743729824
Oahu	2007061508	156.080402223
Oahu	2007061509	145.455828225
Oahu	2007061510	109.533773631
Oahu	2007061511	85.4229762972
Oahu	2007061512	86.7662081408
Oahu	2007061513	101.343831638
Oahu	2007061514	107.583571832
Oahu	2007061515	116.536343077
Oahu	2007061516	136.984965667
Oahu	2007061517	169.337501597
Oahu	2007061518	191.516941691
Oahu	2007061519	184.882401203
Oahu	2007061520	171.297297118
Oahu	2007061521	152.320007881
Oahu	2007061522	122.709941802
Oahu	2007061523	88.5540165036
Oahu	2007071500	60.3533307705
