LOAD_ZONE	TIMEPOINT	lz_demand_mw
Oahu	2007041506	745.36031528
Oahu	2007041507	794.013623627
Oahu	2007041508	837.601900868
Oahu	2007041509	863.443828642
Oahu	2007041510	872.141218894
Oahu	2007041511	877.078462892
Oahu	2007041512	878.037142525
Oahu	2007041513	876.540528248
Oahu	2007041514	876.6736791
Oahu	2007041515	882.665467444
Oahu	2007041516	891.085926029
Oahu	2007041517	898.35064432
Oahu	2007041518	922.440286076
Oahu	2007041519	928.155110245
Oahu	2007041520	897.770092302
Oahu	2007041521	853.580003117
Oahu	2007041522	796.980228512
Oahu	2007041523	743.789128724
Oahu	2007031500	712.978034555
Oahu	2007031501	696.776247976
Oahu	2007031502	691.151924777
Oahu	2007031503	694.912136047
Oahu	2007031504	726.367692042
Oahu	2007031505	794.711332792
Oahu	2007031506	857.223024733
Oahu	2007031507	873.605878267
Oahu	2007031508	905.189253879
Oahu	2007031509	926.658528476
Oahu	2007031510	938.354478518
Oahu	2007031511	940.010867316
Oahu	2007031512	947.190350858
Oahu	2007031513	944.442164081
Oahu	2007031514	935.824612328
Oahu	2007031515	937.789952713
Oahu	2007031516	930.892699566
Oahu	2007031517	932.612998172
Oahu	2007031518	958.028882229
Oahu	2007031519	943.717831248
Oahu	2007031520	912.368737421
Oahu	2007031521	863.086960953
Oahu	2007031522	797.960233087
Oahu	2007031523	741.568181613
Oahu	2007021500	709.446871358
Oahu	2007021501	691.439551423
Oahu	2007021502	685.218747514
Oahu	2007021503	689.942937145
Oahu	2007021504	719.960457437
Oahu	2007021505	787.425322067
Oahu	2007021506	851.257860059
Oahu	2007021507	861.403948486
Oahu	2007021508	888.390954083
Oahu	2007021509	910.041263127
Oahu	2007021510	919.40980389
Oahu	2007021511	927.340276442
Oahu	2007021512	927.750326454
Oahu	2007021513	925.524080615
Oahu	2007021514	921.396404201
Oahu	2007021515	917.90782587
Oahu	2007021516	905.876333081
Oahu	2007021517	909.982684554
Oahu	2007021518	947.392742753
Oahu	2007021519	932.229539322
Oahu	2007021520	898.15358366
Oahu	2007021521	853.292408979
Oahu	2007021522	795.142740252
Oahu	2007021523	741.93034803
Oahu	2007011500	714.240302033
Oahu	2007011501	695.987972827
Oahu	2007011502	686.518301131
Oahu	2007011503	685.953742818
Oahu	2007011504	706.709282037
Oahu	2007011505	745.381607714
Oahu	2007011506	786.711651704
Oahu	2007011507	818.518711645
Oahu	2007011508	865.957701125
Oahu	2007011509	899.149549433
Oahu	2007011510	912.022597217
Oahu	2007011511	916.278093249
Oahu	2007011512	916.411244101
Oahu	2007011513	913.364703194
Oahu	2007011514	908.070656522
Oahu	2007011515	911.649735823
Oahu	2007011516	914.137017145
Oahu	2007011517	927.691747881
Oahu	2007011518	958.635992901
Oahu	2007011519	929.518606178
Oahu	2007011520	895.373376965
Oahu	2007011521	849.462989173
Oahu	2007011522	793.028320325
Oahu	2007011523	741.589474047
