generation_technology	investment_period	g_overnight_cost	g_fixed_o_m
CC_152	2045	1511097.20278	17290.0
CC_383	2045	1599915.14488	17290.0
CT_100	2045	1111714.51013	9010.0
CentralTrackingPV	2045	1415952.11519	22970.0
DistPV	2045	1680387.77698	0.0
IC_Barge	2045	1323327.72788	34460.0
IC_MCBH	2045	2855884.29922	34460.0
IC_Schofield	2045	2241311.8274	34460.0
OffshoreWind	2045	3882933.6971	96710.0
OnshoreWind	2045	1986498.14189	27400.0
