LOAD_ZONE	TIMEPOINT	ev_bau_mw
Oahu	2007011500	120.706661541
Oahu	2007011501	78.2550013091
Oahu	2007011502	49.7271724728
Oahu	2007011503	31.4070496683
Oahu	2007011504	22.8010063635
Oahu	2007011505	33.6296350979
Oahu	2007011506	83.5063050479
Oahu	2007011507	198.548745965
Oahu	2007011508	312.160804446
Oahu	2007011509	290.91165645
Oahu	2007011510	219.067547263
Oahu	2007011511	170.845952594
Oahu	2007011512	173.532416282
Oahu	2007011513	202.687663276
Oahu	2007011514	215.167143663
Oahu	2007011515	233.072686155
Oahu	2007011516	273.969931334
Oahu	2007011517	338.675003193
Oahu	2007011518	383.033883381
Oahu	2007011519	369.764802406
Oahu	2007011520	342.594594237
Oahu	2007011521	304.640015762
Oahu	2007011522	245.419883605
Oahu	2007011523	177.108033007
Oahu	2007021500	120.706661541
Oahu	2007021501	78.2550013091
Oahu	2007021502	49.7271724728
Oahu	2007021503	31.4070496683
Oahu	2007021504	22.8010063635
Oahu	2007021505	33.6296350979
Oahu	2007021506	83.5063050479
Oahu	2007021507	198.548745965
Oahu	2007021508	312.160804446
Oahu	2007021509	290.91165645
Oahu	2007021510	219.067547263
Oahu	2007021511	170.845952594
Oahu	2007021512	173.532416282
Oahu	2007021513	202.687663276
Oahu	2007021514	215.167143663
Oahu	2007021515	233.072686155
Oahu	2007021516	273.969931334
Oahu	2007021517	338.675003193
Oahu	2007021518	383.033883381
Oahu	2007021519	369.764802406
Oahu	2007021520	342.594594237
Oahu	2007021521	304.640015762
Oahu	2007021522	245.419883605
Oahu	2007021523	177.108033007
Oahu	2007031500	120.706661541
Oahu	2007031501	78.2550013091
Oahu	2007031502	49.7271724728
Oahu	2007031503	31.4070496683
Oahu	2007031504	22.8010063635
Oahu	2007031505	33.6296350979
Oahu	2007031506	83.5063050479
Oahu	2007031507	198.548745965
Oahu	2007031508	312.160804446
Oahu	2007031509	290.91165645
Oahu	2007031510	219.067547263
Oahu	2007031511	170.845952594
Oahu	2007031512	173.532416282
Oahu	2007031513	202.687663276
Oahu	2007031514	215.167143663
Oahu	2007031515	233.072686155
Oahu	2007031516	273.969931334
Oahu	2007031517	338.675003193
Oahu	2007031518	383.033883381
Oahu	2007031519	369.764802406
Oahu	2007031520	342.594594237
Oahu	2007031521	304.640015762
Oahu	2007031522	245.419883605
Oahu	2007031523	177.108033007
Oahu	2007041500	120.706661541
Oahu	2007041501	78.2550013091
Oahu	2007041502	49.7271724728
Oahu	2007041503	31.4070496683
Oahu	2007041504	22.8010063635
Oahu	2007041505	33.6296350979
Oahu	2007041506	83.5063050479
Oahu	2007041507	198.548745965
Oahu	2007041508	312.160804446
Oahu	2007041509	290.91165645
Oahu	2007041510	219.067547263
Oahu	2007041511	170.845952594
Oahu	2007041512	173.532416282
Oahu	2007041513	202.687663276
Oahu	2007041514	215.167143663
Oahu	2007041515	233.072686155
Oahu	2007041516	273.969931334
Oahu	2007041517	338.675003193
Oahu	2007041518	383.033883381
Oahu	2007041519	369.764802406
Oahu	2007041520	342.594594237
Oahu	2007041521	304.640015762
Oahu	2007041522	245.419883605
Oahu	2007041523	177.108033007
Oahu	2007051500	120.706661541
Oahu	2007051501	78.2550013091
Oahu	2007051502	49.7271724728
Oahu	2007051503	31.4070496683
Oahu	2007051504	22.8010063635
Oahu	2007051505	33.6296350979
Oahu	2007051506	83.5063050479
Oahu	2007051507	198.548745965
Oahu	2007051508	312.160804446
Oahu	2007051509	290.91165645
Oahu	2007051510	219.067547263
Oahu	2007051511	170.845952594
Oahu	2007051512	173.532416282
Oahu	2007051513	202.687663276
Oahu	2007051514	215.167143663
Oahu	2007051515	233.072686155
Oahu	2007051516	273.969931334
Oahu	2007051517	338.675003193
Oahu	2007051518	383.033883381
Oahu	2007051519	369.764802406
Oahu	2007051520	342.594594237
Oahu	2007051521	304.640015762
Oahu	2007051522	245.419883605
Oahu	2007051523	177.108033007
Oahu	2007061500	120.706661541
Oahu	2007061501	78.2550013091
Oahu	2007061502	49.7271724728
Oahu	2007061503	31.4070496683
Oahu	2007061504	22.8010063635
Oahu	2007061505	33.6296350979
Oahu	2007061506	83.5063050479
Oahu	2007061507	198.548745965
Oahu	2007061508	312.160804446
Oahu	2007061509	290.91165645
Oahu	2007061510	219.067547263
Oahu	2007061511	170.845952594
Oahu	2007061512	173.532416282
Oahu	2007061513	202.687663276
Oahu	2007061514	215.167143663
Oahu	2007061515	233.072686155
Oahu	2007061516	273.969931334
Oahu	2007061517	338.675003193
Oahu	2007061518	383.033883381
Oahu	2007061519	369.764802406
Oahu	2007061520	342.594594237
Oahu	2007061521	304.640015762
Oahu	2007061522	245.419883605
Oahu	2007061523	177.108033007
Oahu	2007071500	120.706661541
Oahu	2007071501	78.2550013091
Oahu	2007071502	49.7271724728
Oahu	2007071503	31.4070496683
Oahu	2007071504	22.8010063635
Oahu	2007071505	33.6296350979
Oahu	2007071506	83.5063050479
Oahu	2007071507	198.548745965
Oahu	2007071508	312.160804446
Oahu	2007071509	290.91165645
Oahu	2007071510	219.067547263
Oahu	2007071511	170.845952594
Oahu	2007071512	173.532416282
Oahu	2007071513	202.687663276
Oahu	2007071514	215.167143663
Oahu	2007071515	233.072686155
Oahu	2007071516	273.969931334
Oahu	2007071517	338.675003193
Oahu	2007071518	383.033883381
Oahu	2007071519	369.764802406
Oahu	2007071520	342.594594237
Oahu	2007071521	304.640015762
Oahu	2007071522	245.419883605
Oahu	2007071523	177.108033007
Oahu	2007081500	120.706661541
Oahu	2007081501	78.2550013091
Oahu	2007081502	49.7271724728
Oahu	2007081503	31.4070496683
Oahu	2007081504	22.8010063635
Oahu	2007081505	33.6296350979
Oahu	2007081506	83.5063050479
Oahu	2007081507	198.548745965
Oahu	2007081508	312.160804446
Oahu	2007081509	290.91165645
Oahu	2007081510	219.067547263
Oahu	2007081511	170.845952594
Oahu	2007081512	173.532416282
Oahu	2007081513	202.687663276
Oahu	2007081514	215.167143663
Oahu	2007081515	233.072686155
Oahu	2007081516	273.969931334
Oahu	2007081517	338.675003193
Oahu	2007081518	383.033883381
Oahu	2007081519	369.764802406
Oahu	2007081520	342.594594237
Oahu	2007081521	304.640015762
Oahu	2007081522	245.419883605
Oahu	2007081523	177.108033007
Oahu	2007091500	120.706661541
Oahu	2007091501	78.2550013091
Oahu	2007091502	49.7271724728
Oahu	2007091503	31.4070496683
Oahu	2007091504	22.8010063635
Oahu	2007091505	33.6296350979
Oahu	2007091506	83.5063050479
Oahu	2007091507	198.548745965
Oahu	2007091508	312.160804446
Oahu	2007091509	290.91165645
Oahu	2007091510	219.067547263
Oahu	2007091511	170.845952594
Oahu	2007091512	173.532416282
Oahu	2007091513	202.687663276
Oahu	2007091514	215.167143663
Oahu	2007091515	233.072686155
Oahu	2007091516	273.969931334
Oahu	2007091517	338.675003193
Oahu	2007091518	383.033883381
Oahu	2007091519	369.764802406
Oahu	2007091520	342.594594237
Oahu	2007091521	304.640015762
Oahu	2007091522	245.419883605
Oahu	2007091523	177.108033007
Oahu	2007101500	120.706661541
Oahu	2007101501	78.2550013091
Oahu	2007101502	49.7271724728
Oahu	2007101503	31.4070496683
Oahu	2007101504	22.8010063635
Oahu	2007101505	33.6296350979
Oahu	2007101506	83.5063050479
Oahu	2007101507	198.548745965
Oahu	2007101508	312.160804446
Oahu	2007101509	290.91165645
Oahu	2007101510	219.067547263
Oahu	2007101511	170.845952594
Oahu	2007101512	173.532416282
Oahu	2007101513	202.687663276
Oahu	2007101514	215.167143663
Oahu	2007101515	233.072686155
Oahu	2007101516	273.969931334
Oahu	2007101517	338.675003193
Oahu	2007101518	383.033883381
Oahu	2007101519	369.764802406
Oahu	2007101520	342.594594237
Oahu	2007101521	304.640015762
Oahu	2007101522	245.419883605
Oahu	2007101523	177.108033007
Oahu	2007111500	120.706661541
Oahu	2007111501	78.2550013091
Oahu	2007111502	49.7271724728
Oahu	2007111503	31.4070496683
Oahu	2007111504	22.8010063635
Oahu	2007111505	33.6296350979
Oahu	2007111506	83.5063050479
Oahu	2007111507	198.548745965
Oahu	2007111508	312.160804446
Oahu	2007111509	290.91165645
Oahu	2007111510	219.067547263
Oahu	2007111511	170.845952594
Oahu	2007111512	173.532416282
Oahu	2007111513	202.687663276
Oahu	2007111514	215.167143663
Oahu	2007111515	233.072686155
Oahu	2007111516	273.969931334
Oahu	2007111517	338.675003193
Oahu	2007111518	383.033883381
Oahu	2007111519	369.764802406
Oahu	2007111520	342.594594237
Oahu	2007111521	304.640015762
Oahu	2007111522	245.419883605
Oahu	2007111523	177.108033007
Oahu	2007121500	120.706661541
Oahu	2007121501	78.2550013091
Oahu	2007121502	49.7271724728
Oahu	2007121503	31.4070496683
Oahu	2007121504	22.8010063635
Oahu	2007121505	33.6296350979
Oahu	2007121506	83.5063050479
Oahu	2007121507	198.548745965
Oahu	2007121508	312.160804446
Oahu	2007121509	290.91165645
Oahu	2007121510	219.067547263
Oahu	2007121511	170.845952594
Oahu	2007121512	173.532416282
Oahu	2007121513	202.687663276
Oahu	2007121514	215.167143663
Oahu	2007121515	233.072686155
Oahu	2007121516	273.969931334
Oahu	2007121517	338.675003193
Oahu	2007121518	383.033883381
Oahu	2007121519	369.764802406
Oahu	2007121520	342.594594237
Oahu	2007121521	304.640015762
Oahu	2007121522	245.419883605
Oahu	2007121523	177.108033007
