generation_technology	investment_period	g_overnight_cost	g_fixed_o_m
CC_152	2020	1622023.11403	17290.0
CC_152	2030	1550966.32364	17290.0
CC_383	2020	1717929.18793	17290.0
CC_383	2030	1642107.99108	17290.0
CT_100	2020	1203015.99502	9010.0
CT_100	2030	1141997.30309	9010.0
CentralTrackingPV	2020	2506345.17341	22970.0
CentralTrackingPV	2030	1925018.93951	22970.0
DistPV	2020	3128586.4886	0.0
DistPV	2030	2284773.5948	0.0
IC_Barge	2020	1323131.36914	34460.0
IC_Barge	2030	1323501.64936	34460.0
IC_MCBH	2020	3090410.28442	34460.0
IC_MCBH	2030	2933671.1074	34460.0
IC_Schofield	2020	2424654.52866	34460.0
IC_Schofield	2030	2301911.34423	34460.0
OffshoreWind	2020	5615998.97241	96710.0
OffshoreWind	2030	4401066.61446	96710.0
OnshoreWind	2020	2309475.44115	27400.0
OnshoreWind	2030	2233664.86748	27400.0
